Event	ID	Name			Wwise Object Path	Notes
	3494090786	Play_VFXStillFight			\Default Work Unit\Play_VFXStillFight	
	3540847904	Stop_VFXHurt5			\Default Work Unit\Stop_VFXHurt5	
	3540847905	Stop_VFXHurt4			\Default Work Unit\Stop_VFXHurt4	
	3540847907	Stop_VFXHurt6			\Default Work Unit\Stop_VFXHurt6	
	3540847908	Stop_VFXHurt1			\Default Work Unit\Stop_VFXHurt1	
	3540847910	Stop_VFXHurt3			\Default Work Unit\Stop_VFXHurt3	
	3540847911	Stop_VFXHurt2			\Default Work Unit\Stop_VFXHurt2	
	3557728766	Play_fleche_impact			\Default Work Unit\Play_fleche_impact	
	3618027103	Stop_VFXRightBehindYou			\Default Work Unit\Stop_VFXRightBehindYou	
	3624050800	Stop_VFXEnGarde			\Default Work Unit\Stop_VFXEnGarde	
	3639333679	Stop_s2_zwerch			\Default Work Unit\Stop_s2_zwerch	
	3684627830	Stop_VFXHealing			\Default Work Unit\Stop_VFXHealing	
	3705837040	Play_VFXHurt3			\Default Work Unit\Play_VFXHurt3	
	3705837041	Play_VFXHurt2			\Default Work Unit\Play_VFXHurt2	
	3705837042	Play_VFXHurt1			\Default Work Unit\Play_VFXHurt1	
	3705837045	Play_VFXHurt6			\Default Work Unit\Play_VFXHurt6	
	3705837046	Play_VFXHurt5			\Default Work Unit\Play_VFXHurt5	
	3705837047	Play_VFXHurt4			\Default Work Unit\Play_VFXHurt4	
	4020106154	Stop_s2_zwerch_ench			\Default Work Unit\Stop_s2_zwerch_ench	
	4025064711	Stop_VFXSmokingCrater			\Default Work Unit\Stop_VFXSmokingCrater	
	4044340562	Stop_VFXIntro			\Default Work Unit\Stop_VFXIntro	
	4091352969	Stop_VFXPayMeBack			\Default Work Unit\Stop_VFXPayMeBack	
	4150016021	Play_VFXBackInTheGame			\Default Work Unit\Play_VFXBackInTheGame	
